units,melon,egg,fertilizer,wheat,wool
211,26538,8961,16669,4524,8080
212,26539,9002,16727,4545,8081
213,26540,9043,16785,4566,8082
214,26541,9084,16842,4587,8083
215,26542,9125,16899,4608,8084
216,26543,9166,16956,4629,8085
217,26544,9207,17013,4650,8086
218,26545,9248,17070,4671,8087
219,26546,9289,17126,4692,8088
220,26547,9330,17182,4713,8089
221,26548,9371,17238,4733,8090
222,26549,9412,17294,4753,8091
223,26550,9453,17350,4773,8092
224,26551,9494,17405,4793,8093
225,26552,9535,17460,4813,8094
226,26553,9576,17515,4833,8095
227,26554,9617,17570,4853,8096
228,26555,9658,17625,4873,8097
229,26556,9699,17679,4893,8098
230,26557,9740,17733,4913,8099
231,26558,9781,17787,4933,8100
232,26559,9822,17841,4953,8101
233,26560,9863,17895,4973,8102
234,26561,9904,17948,4993,8103
235,26562,9945,18001,5013,8104
236,26563,9986,18054,5033,8105
237,26564,10027,18107,5053,8106
238,26565,10068,18160,5073,8107
239,26566,10109,18212,5093,8108
240,26567,10150,18264,5113,8109
241,26568,10191,18316,5133,8110
242,26569,10232,18368,5153,8111
243,26570,10273,18420,5173,8112
244,26571,10314,18471,5193,8113
245,26572,10355,18522,5213,8114
246,26573,10396,18573,5233,8115
247,26574,10437,18624,5253,8116
248,26575,10478,18675,5273,8117
249,26576,10519,18725,5293,8118
250,26577,10559,18775,5313,8119
251,26578,10599,18825,5333,8120
252,26579,10639,18875,5353,8121
253,26580,10679,18925,5373,8122
254,26581,10719,18974,5393,8123
255,26582,10759,19023,5413,8124
256,26583,10799,19072,5433,8125
257,26584,10839,19121,5453,8126
258,26585,10879,19170,5473,8127
259,26586,10919,19218,5493,8128
260,26587,10959,19266,5513,8129
261,26588,10999,19314,5533,8130
262,26589,11039,19362,5553,8131
263,26590,11079,19410,5573,8132
264,26591,11119,19457,5593,8133
265,26592,11159,19504,5613,8134
266,26593,11199,19551,5633,8135
267,26594,11239,19598,5653,8136
268,26595,11279,19645,5673,8137
269,26596,11319,19691,5693,8138
270,26597,11359,19737,5713,8139
271,26598,11399,19783,5733,8140
272,26599,11439,19829,5753,8141
273,26600,11479,19875,5773,8142
274,26601,11519,19920,5793,8143
275,26602,11559,19965,5813,8144
276,26603,11599,20010,5833,8145
277,26604,11639,20055,5853,8146
278,26605,11679,20100,5873,8147
279,26606,11719,20144,5893,8148
280,26607,11759,20188,5913,8149
281,26608,11799,20232,5933,8150
282,26609,11839,20276,5953,8151
283,26610,11879,20320,5973,8152
284,26611,11919,20363,5993,8153
285,26612,11959,20406,6013,8154
286,26613,11999,20449,6033,8155
287,26614,12039,20492,6053,8156
288,26615,12079,20535,6073,8157
289,26616,12119,20577,6093,8158
290,26617,12159,20619,6113,8159
291,26618,12199,20661,6133,8160
292,26619,12239,20703,6153,8161
293,26620,12279,20745,6173,8162
294,26621,12319,20786,6193,8163
295,26622,12359,20827,6213,8164
296,26623,12399,20868,6233,8165
297,26624,12439,20909,6253,8166
298,26625,12479,20950,6273,8167
299,26626,12519,20990,6293,8168
300,26627,12559,21030,6313,8169
301,26628,12599,21070,6333,8170
302,26629,12639,21110,6353,8171
303,26630,12679,21150,6373,8172
304,26631,12719,21189,6393,8173
305,26632,12759,21228,6413,8174
306,26633,12799,21267,6433,8175
307,26634,12839,21306,6453,8176
308,26635,12879,21345,6473,8177
309,26636,12919,21383,6493,8178
310,26637,12959,21421,6513,8179
311,26638,12999,21459,6533,8180
312,26639,13039,21497,6553,8181
313,26640,13079,21535,6573,8182
314,26641,13119,21572,6593,8183
315,26642,13159,21609,6613,8184
316,26643,13199,21646,6633,8185
317,26644,13239,21683,6653,8186
318,26645,13279,21720,6673,8187
319,26646,13319,21756,6693,8188
320,26647,13359,21792,6713,8189
321,26648,13399,21828,6733,8190
322,26649,13439,21864,6753,8191
323,26650,13479,21900,6773,8192
324,26651,13519,21935,6793,8193
325,26652,13559,21970,6813,8194
326,26653,13599,22005,6833,8195
327,26654,13639,22040,6853,8196
328,26655,13679,22075,6873,8197
329,26656,13719,22109,6893,8198
330,26657,13759,22143,6913,8199
331,26658,13799,22177,6933,8200
332,26659,13839,22211,6953,8201
333,26660,13879,22245,6973,8202
334,26661,13919,22278,6993,8203
335,26662,13959,22311,7013,8204
336,26663,13999,22344,7033,8205
337,26664,14039,22377,7053,8206
338,26665,14079,22410,7073,8207
339,26666,14119,22442,7093,8208
340,26667,14159,22474,7113,8209
341,26668,14199,22506,7133,8210
342,26669,14239,22538,7153,8211
343,26670,14279,22570,7173,8212
344,26671,14319,22601,7193,8213
345,26672,14359,22632,7213,8214
346,26673,14399,22663,7233,8215
347,26674,14439,22694,7253,8216
348,26675,14479,22725,7273,8217
349,26676,14519,22755,7293,8218
350,26677,14559,22785,7313,8219
351,26678,14599,22815,7333,8220
352,26679,14639,22845,7353,8221
353,26680,14679,22875,7373,8222
354,26681,14719,22904,7393,8223
355,26682,14759,22933,7413,8224
356,26683,14799,22962,7433,8225
357,26684,14839,22991,7453,8226
358,26685,14879,23020,7473,8227
359,26686,14919,23048,7493,8228
360,26687,14959,23076,7513,8229
361,26688,14999,23104,7533,8230
362,26689,15039,23132,7553,8231
363,26690,15079,23160,7573,8232
364,26691,15119,23187,7593,8233
365,26692,15159,23214,7613,8234
366,26693,15199,23241,7633,8235
367,26694,15239,23268,7653,8236
368,26695,15279,23295,7673,8237
369,26696,15319,23321,7693,8238
370,26697,15359,23347,7713,8239
371,26698,15399,23373,7733,8240
372,26699,15439,23399,7753,8241
373,26700,15479,23425,7773,8242
374,26701,15519,23450,7793,8243
375,26702,15559,23475,7813,8244
376,26703,15599,23500,7833,8245
377,26704,15639,23525,7853,8246
378,26705,15679,23550,7873,8247
379,26706,15719,23574,7893,8248
380,26707,15759,23598,7913,8249
381,26708,15799,23622,7933,8250
382,26709,15839,23646,7953,8251
383,26710,15879,23670,7973,8252
384,26711,15919,23693,7993,8253
385,26712,15959,23716,8013,8254
386,26713,15999,23739,8033,8255
387,26714,16039,23762,8053,8256
388,26715,16079,23785,8073,8257
389,26716,16119,23807,8093,8258
390,26717,16159,23829,8113,8259
391,26718,16199,23851,8133,8260
392,26719,16239,23873,8153,8261
393,26720,16279,23895,8173,8262
394,26721,16319,23916,8193,8263
395,26722,16359,23937,8213,8264
396,26723,16399,23958,8233,8265
397,26724,16439,23979,8253,8266
398,26725,16479,24000,8273,8267
399,26726,16519,24020,8293,8268
400,26727,16559,24040,8313,8269
401,26728,16599,24060,8333,8270
402,26729,16639,24080,8353,8271
403,26730,16679,24100,8373,8272
404,26731,16719,24119,8393,8273
405,26732,16759,24138,8413,8274
406,26733,16799,24157,8433,8275
407,26734,16839,24176,8453,8276
408,26735,16879,24195,8473,8277
409,26736,16919,24213,8493,8278
410,26737,16959,24231,8513,8279
411,26738,16999,24249,8533,8280
412,26739,17039,24267,8553,8281
413,26740,17079,24285,8573,8282
414,26741,17119,24302,8593,8283
415,26742,17159,24319,8613,8284
416,26743,17199,24336,8633,8285
417,26744,17239,24353,8653,8286
418,26745,17279,24370,8673,8287
419,26746,17319,24386,8693,8288
420,26747,17359,24402,8713,8289
